pmid,pub_date,year,time_string,paper_post_2017,author_had_u19_in_2017,is_pi_a,name_key_a,papers_before_2017_a,papers_after_2017_a,is_pi_b,name_key_b,author_had_u19_in_2017_b,papers_before_2017_b,papers_after_2017_b
25565280,2015-01-21,2015,"datetime(2015,1,21,0,0)",0,0,0,"G Broussard",3,13,0,"R Liang",0,3,3
25565280,2015-01-21,2015,"datetime(2015,1,21,0,0)",0,0,1,"L Tian",3,19,0,"R Liang",0,3,3
25565280,2015-01-21,2015,"datetime(2015,1,21,0,0)",0,0,0,"G Broussard",3,13,1,"L Tian",0,3,19
25663667,2015-02-06,2015,"datetime(2015,2,6,0,0)",0,0,1,"C Eroglu",20,36,0,"W Chung",0,3,0
25663667,2015-02-06,2015,"datetime(2015,2,6,0,0)",0,0,0,"N Allen",3,8,0,"W Chung",0,3,0
25663667,2015-02-06,2015,"datetime(2015,2,6,0,0)",0,0,1,"C Eroglu",20,36,0,"N Allen",0,3,8
25731173,2015-05-21,2015,"datetime(2015,5,21,0,0)",0,0,1,"A Zador",11,2,0,"Q Xiong",0,5,0
25731173,2015-05-21,2015,"datetime(2015,5,21,0,0)",0,0,0,"P Znamenskiy",5,0,0,"Q Xiong",0,5,0
25731173,2015-05-21,2015,"datetime(2015,5,21,0,0)",0,0,1,"A Zador",11,2,0,"P Znamenskiy",0,5,0
25665733,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,1,"A Nimmerjahn",9,6,0,"D Bergles",0,3,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,1,"C Eroglu",20,36,0,"M Risher",0,6,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"H Swartzwelder",6,0,0,"M Risher",0,6,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"K Miller",8,10,0,"M Risher",0,6,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,1,"C Eroglu",20,36,0,"R Fleming",0,6,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"H Swartzwelder",6,0,0,"R Fleming",0,6,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"K Miller",8,10,0,"R Fleming",0,6,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"M Risher",6,0,0,"R Fleming",0,6,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,1,"C Eroglu",20,36,0,"W Risher",0,6,5
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"H Swartzwelder",6,0,0,"W Risher",0,6,5
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"K Miller",8,10,0,"W Risher",0,6,5
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"M Risher",6,0,0,"W Risher",0,6,5
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"R Fleming",6,0,0,"W Risher",0,6,5
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"R Klein",3,0,0,"W Risher",0,6,5
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"S Acheson",3,0,0,"W Risher",0,6,5
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"S Moore",6,0,0,"W Risher",0,6,5
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"T Wills",3,0,0,"W Risher",0,6,5
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,1,"C Eroglu",20,36,0,"K Miller",0,8,10
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"H Swartzwelder",6,0,0,"K Miller",0,8,10
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,1,"C Eroglu",20,36,0,"R Klein",0,3,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"H Swartzwelder",6,0,0,"R Klein",0,3,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"K Miller",8,10,0,"R Klein",0,3,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"M Risher",6,0,0,"R Klein",0,3,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"R Fleming",6,0,0,"R Klein",0,3,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,1,"C Eroglu",20,36,0,"T Wills",0,3,0
25916839,2015-06-01,2015,"datetime(2015,6,1,0,0)",0,0,0,"H Swartzwelder",6,0,0,"T Wills",0,3,0
